4	-24.39	1.11e-8 2.74e-8	1.11e-8
4	-24.09	4.3e-8	5.65e-8	4.3e-8
4	-23.79	9.22e-8	9.32e-8	9.22e-8
4	-23.49	2.17e-7	1.83e-7	1.83e-7
4	-23.19	3.63e-7	2.3e-7	2.3e-7
4	-22.89	8.07e-7	4.28e-7	4.28e-7
4	-22.64	1.97e-6	9.2e-7	9.2e-7
4	-22.44	5.67e-6	2.01e-6	2.01e-6
4	-22.29	9.24e-6	4.1e-6	4.1e-6
4	-22.19	0.0000153	6.1e-6	6.1e-6
4	-22.09	0.0000189	6.8e-6	6.8e-6
4	-21.99	0.0000275	9.2e-6	9.2e-6
4	-21.89	0.0000366	0.0000113	0.0000113
4	-21.79	0.0000544	0.0000158	0.0000158
4	-21.69	0.0000738	0.0000189	0.0000189
4	-21.59	0.000103	0.000023	0.000023
4	-21.49	0.000128	0.000026	0.000026
4	-21.39	0.000182	0.000034	0.000034
4	-21.29	0.000223	0.000038	0.000038
4	-21.19	0.000292	0.000049	0.000049
4	-21.09	0.000386	0.000067	0.000067
4	-20.99	0.000458	0.000081	0.000081
4	-20.89	0.000516	0.000093	0.000093
4	-20.79	0.000635	0.000116	0.000116
4	-20.69	0.000815	0.000151	0.000151
4	-20.59	0.000908	0.000172	0.000172
4	-20.49	0.00103	0.0002	0.0002
4	-20.39	0.00119	0.00024	0.00024
4	-20.29	0.00146	0.00031	0.00031
4	-20.19	0.00159	0.00036	0.00036
4	-20.09	0.00178	0.00044	0.00044
4	-19.99	0.00202	0.00054	0.00054
5	-24.42	2.58e-9	1.468e-8	2.58e-9
5	-23.92	4.73e-8	1.022e-7	4.73e-8
5	-23.42	1.57e-7	2.48e-7	1.57e-7
5	-23.05	6.22e-7	4.19e-7	4.19e-7
5	-22.8	1.27e-6	6.7e-7	6.6e-7
5	-22.55	5.21e-6	2.28e-6	2.28e-6
5	-22.3	0.0000124	4.3e-6	4.3e-6
5	-22.05	0.0000297	8.e-6	8.e-6
5	-21.8	0.0000478	0.000011	0.000011
5	-21.55	0.0001	0.00002	0.00002
5	-21.3	0.000177	0.000038	0.000038
5	-21.05	0.000293	0.000071	0.000071
5	-20.8	0.000409	0.000114	0.000114
5	-20.55	0.000431	0.00015	0.00015
5	-20.3	0.000613	0.000252	0.000252
6	-24.02	6.e-9	9.95e-9	6.e-9
6	-23.52	3.76e-8	2.97e-8	2.05e-8
6	-23.12	1.8e-7	1.09e-7	1.09e-7
6	-22.82	7.59e-7	4.14e-7	4.14e-7
6	-22.52	1.81e-6	9.6e-7	9.6e-7
6	-22.22	3.46e-6	1.78e-6	1.78e-6
6	-21.92	9.58e-6	4.82e-6	4.82e-6
6	-21.62	0.0000355	0.000018	0.000018
6	-21.32	0.0000735	0.0000405	0.0000405
6	-21.02	0.000177	0.000122	0.000122
7	-24.42	5.e-10	2.481e-9	5.e-10
7	-23.92	1.31e-8	2.46e-8	1.31e-8
7	-23.42	4.39e-8	6.02e-8	4.39e-8
7	-22.92	1.83e-7	3.62e-7	1.83e-7
7	-22.42	1.06e-6	1.2e-6	1.06e-6
7	-21.92	2.75e-6	2.77e-6	2.55e-6
